ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-25-005073	195342		028-12836			Guggenheim Capital LLC
0000950123-25-005073	195343		028-04321	000107134	801-48252	Heitman Real Estate Securities LLC
0000950123-25-005073	195344		028-03059	000107022	801-28257	Jacobs Levy Equity Management, Inc.
0000950123-25-005073	195345		028-10904			Janus Henderson Group Plc
0000950123-25-005073	195346		028-00694			JPMorgan Chase & Co
0000950123-25-005073	195347		028-01490			Legal & General Group Plc
0000950123-25-005073	195348		028-00398	000105377	801-170	Loomis Sayles & Co L P
0000950123-25-005073	195349		028-13120			Macquarie Group Ltd
0000950123-25-005073	195350		028-04968	000110045	801-17352	Massachusetts Financial Services Co
0000950123-25-005073	195351		028-13573			Neuberger Berman Group LLC
0000950123-25-005073	195352		028-04558			Parametric Portfolio Associates LLC
0000950123-25-005073	195353		028-14013			Payden & Rygel
0000950123-25-005073	195354		028-10077			Prudential Financial Inc
0000950123-25-005073	195355		028-11396			Royal Bank of Canada
0000950123-25-005073	195356		028-10103			Deutsche Bank AG\
0000950123-25-005073	195357		028-05734	000137610	801-64820	Sands Capital Management, LLC
0000950123-25-005073	195358		028-10621	000112192	801-25180	Shenkman Capital Management Inc.
0000950123-25-005073	195359		028-04720	000104889	801-10544	SSI Investment Management LLC
0000950123-25-005073	195360		028-11092			TimesSquare Capital Management, LLC
0000950123-25-005073	195361		028-02494			TCW Group Inc
0000950123-25-005073	195362		028-04557			Wellington Management Group LLP
0000950123-25-005073	195363		028-10245	000110441	801-8162	Western Asset Management Company, LLC
0000950123-25-005073	195364		028-07104	000104702	801-11916	WCM Investment Management, LLC
0000950123-25-005073	195334		028-10104	000109678	801-63055	Altrinsic Global Advisors LLC
0001599814-25-000003	195657		028-17598			Russell Investment Group, Ltd.
0001213900-25-043042	195532	0001965208	028-22970			Viola Ventures V.C. Management 4 Ltd.
0001213900-25-043040	195575	0001965208	028-22970			Viola Ventures V.C. Management 4 Ltd.
0001677044-25-000011	195974	0001677044				OSAIC HOLDINGS, INC.
0001104659-25-048291	195952	0001447884	028-15992			Fosun International Ltd
0000945621-25-000475	195594	0001088875	028-04825	000304197	802-116796	BAILLIE GIFFORD & CO
0000945621-25-000475	195614	0001905112	028-22622	000299053	801-117712	Long Path Partners LP
0000945621-25-000475	195596	0001541448	028-14794	000174314	801-89169	Veritas Asset Management LLP
0000945621-25-000475	195597	0001579254	028-15537	000147910	801-69456	East Coast Asset Management, LLC.
0000945621-25-000475	195598	0001316926	028-11073	000106278	801-43216	Polaris Capital Management, LLC
0000945621-25-000475	195599	0001428569	028-13025	000155703	801-71999	Holowesko Partners Ltd.
0000945621-25-000475	195600	0001765388	028-18978	000291699	801-112310	Metropolis Capital Ltd
0000945621-25-000475	195601	0001353312	028-11746	000138743	801-71560	TREMBLANT CAPITAL GROUP
0000945621-25-000475	195602	0001742040	028-18857	000168985	801-80609	Brown Advisory Ltd
0000945621-25-000475	195603	0000053417	028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0000945621-25-000475	195604	0000052388	028-01091	000105778	801-8174	AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0000945621-25-000475	195605	0001681639	028-17489	000281225	801-106590	Coronation Investment Management International (Pty) Ltd
0000945621-25-000475	195606	0001601407	028-16709	000319174	801-125739	Troy Asset Management Ltd
0000945621-25-000475	195607	0001340807	028-12210	000114428	801-63780	Bares Capital Management, Inc.
0000945621-25-000475	195608	0001961304	028-23013	000149101	801-70802	Templeton & Phillips Capital Management, LLC
0000945621-25-000475	195609	0001481669	028-14674	000312512	801-120180	EdgePoint Investment Group Inc.
0000945621-25-000475	195610	0001608485	028-16225	000172244	801-80091	LANSDOWNE PARTNERS (UK) LLP
0000945621-25-000475	195611	0001352662	028-11599	000106220	801-15028	Grantham, Mayo, Van Otterloo & Co. LLC
0000945621-25-000475	195612	0001418329	028-12634	000158310	801-73635	Ninety One UK Ltd
0000945621-25-000475	195613	0001556915	028-15430	000153665	801-77018	ARGA Investment Management, LP
0000945621-25-000475	195595	0001508097	028-14100	000151480	801-70661	Sanders Capital, LLC
0001085146-25-003089	195444	0002011612	028-23932			Pathstone Holdings, LLC
0001085146-25-003086	195591	0002011612	028-23932			Pathstone Holdings, LLC
0001085146-25-003084	195393	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001085146-25-003084	195394	0002011612	028-23932			Pathstone Holdings, LLC
0001085146-25-003081	195538	0001007524	028-04483	000105421	801-18395	OSTERWEIS CAPITAL MANAGEMENT INC
0001062993-25-009319	195848		028-19788	000165139	801-110597	EPIQ PARTNERS, LLC
0001062993-25-009319	195849		028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0001062993-25-009319	195850		028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0001062993-25-009319	195851		028-22356	000104540	801-21230	LAKESIDE ADVISORS, INC.
0001062993-25-009319	195852		028-04434	000104543	801-36845	HARDING LOEVNER LP
0001062993-25-009319	195855		028-16347	000121863	801-69518	EISNERAMPER WEALTH MANAGEMENT CORPORATE BENEFITS, LLC
0001062993-25-009319	195856		028-00400	000104596	801-1895	DODGE & COX
0001062993-25-009319	195857		028-02602	000106647	801-9970	EDGEWOOD MANAGEMENT LLC
0001062993-25-009319	195858		028-19468	000147363	801-69271	MERCER GLOBAL ADVISORS INC /ADV
0001062993-25-009319	195800		028-07342	000110351	801-2731	MAIRS AND POWER, INC.
0001062993-25-009319	195801		028-01911	000008158	801-7571	BAIRD ROBERT W & CO INC
0001062993-25-009319	195802		028-17249	000173347	801-80681	CLARIUS GROUP, LLC
0001062993-25-009319	195803		028-13894	000145711	801-69073	FREESTONE CAPITAL HOLDINGS, LLC
0001062993-25-009319	195804		028-04879	000106432	801-40278	REINHART PARTNERS, INC.
0001062993-25-009319	195805		028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001062993-25-009319	195806		028-01707	000110550	801-8562	BAILARD, INC.
0001062993-25-009319	195807		028-01822	000110489	801-11781	BECKER CAPITAL MANAGEMENT INC
0001062993-25-009319	195808		028-03143	000140444	801-13545	FOLGER NOLAN FLEMING DOUGLAS CAPITAL
0001062993-25-009319	195809		028-07602	000000199	801-45761	DAVIDSON DA & CO
0001062993-25-009319	195810		028-10663	000119278	801-60945	HAMLIN CAPITAL MANAGEMENT, LLC
0001062993-25-009319	195811		028-14122	000151736	801-70776	PATHSTONE FAMILY OFFICE, LLC
0001062993-25-009319	195812		028-22724	000311492	801-120488	CREATIVE CAPITAL MANAGEMENT INVESTMENTS LLC 
0001062993-25-009319	195813		028-00158	000007691	801-14235	BANK OF AMERICA CORP
0001062993-25-009319	195814		028-03434	000105161	801-23386	CONGRESS ASSET MANAGEMENT CO
0001062993-25-009319	195815		028-10981	000000361	801-16048	GOLDMAN SACHS ASSET MANAGEMENT
0001062993-25-009319	195816		028-11873	000149777	801-70103	MORGAN STANLEY & CO. LLC
0001062993-25-009319	195817		028-04069	000031194	801-13059	RBC CAPITAL MARKETS, LLC
0001062993-25-009319	195818		028-19305	000288566	801-110753	CRESSET ASSET MANAGEMENT, LLC
0001062993-25-009319	195819		028-12988	000006681	801-66192	FIRST WASHINGTON
0001062993-25-009319	195820		028-11925	000000079	801-3702	JP MORGAN SECURITIES PLC
0001062993-25-009319	195821		028-04558	000114310	801-60485	PARAMETIC PORTFOLIO ASSOCIATES LLC
0001062993-25-009319	195822		028-03125	000110901	801-17958	TRILLIUM ASSET MANAGEMENT, LLC
0001062993-25-009319	195823		028-18042	000125101	801-79223	JOHNSON FINANCIAL GROUP, LLC
0001062993-25-009319	195824		028-11964	000111616	801-57184	APERIO GROUP, LLC
0001062993-25-009319	195825		028-15458	000166580	801-77544	MERRIMAN WEALTH MANAGEMENT, LLC
0001062993-25-009319	195826		028-00551	000017868	801-68122	US BANCORP
0001062993-25-009319	195827		028-16612	000008174	801-7163	UBS GROUP AG
0001062993-25-009319	195828		028-02825	000016139	801-36951	BAHL & GAYNOR INC
0001062993-25-009319	195829		028-06408	000105958	801-11953	VANGUARD GROUP INC
0001062993-25-009319	195830		028-03692	000015800	801-28170	MILLER HOWARD INVESTMENTS INC /NY
0001062993-25-009319	195831		028-04819	000159289	801-72862	FOCUS PARTNERS WEALTH
0001062993-25-009319	195832		028-13117	000011025	801-57434	WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC
0001062993-25-009319	195833		028-18349	000106720	801-48820	FIDUCIENT ADVISORS LLC
0001062993-25-009319	195834		028-17754	000151559	801-70719	CERITY PARTNERS LLC
0001062993-25-009319	195835		028-16961	000154718	801-71802	UNIPLAN INVESTMENT COUSEL
0001062993-25-009319	195836		028-04621	000000793	801-10746	STIFEL FINANCIAL CORP
0001062993-25-009319	195837		028-02956	000110757	801-16937	GREAT LAKES ADVISORS
0001062993-25-009319	195838		028-00290	000007927	801-80781	NORTHERN TRUST
0001062993-25-009319	195839		028-07806	000112215	801-60185	BESSEMER GROUP INC
0001062993-25-009319	195840		028-17407	000168219	801-78284	ORGEL WEALTH MANAGEMENT, LLC
0001062993-25-009319	195841		028-19634	000147384	801-69248	SCHWARZ DYGOS WHEELER INVESTMENT ADVISORS LLC
0001062993-25-009319	195842		028-13510	000145323	801-69625	HIGHTOWER ADVISORS
0001062993-25-009319	195843		028-16217	000151043	801-70472	GARDE CAPITAL, INC.
0001062993-25-009319	195844		028-20451	000107148	801-38507	FOSTER GROUP, INC
0001062993-25-009319	195845		028-12526	000006413	801-10970	LPL FINANCIAL LLC
0001062993-25-009319	195846		028-20564	000283682	801-107852	BOND & DEVICK FINANCIAL NETWORK, INC.
0001062993-25-009319	195847		028-05098	000107823	801-32238	COMPASS CAPITAL MANAGEMENT, INC
0001062993-25-009319	195853		028-00139	000006363	801-28543	AMERIPRISE FINANCIAL INC
0001062993-25-009319	195854		028-11310	000108680	801-56993	DOUGLAS WINTHROP ADVISORS, LLC
0001085146-25-003074	195625	0000902219	028-04557	000106595	801-15908	WELLINGTON MANAGEMENT GROUP LLP
0001085146-25-003074	195624	0001163368	028-10952	000104559	801-48187	PACIFIC INVESTMENT MANAGEMENT CO LLC
0001085146-25-003074	195622	0000200217	028-00400	000104596	801-1895	DODGE & COX
0001085146-25-003074	195623	0000912938	028-04968	000110045	801-17352	MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001085146-25-003071	195292	0001544935	028-14936	000162309	801-75074	abrdn Investments Ltd
0001085146-25-003071	195315	0000080255	028-00115	000105496	801-856	PRICE T ROWE ASSOCIATES INC /MD/
0001085146-25-003071	195314	0000902219	028-04557	000106595	801-15908	WELLINGTON MANAGEMENT GROUP LLP
0001085146-25-003071	195313	0001021642	028-05840	000106975	801-51795	Vaughan Nelson Investment Management, L.P.
0001085146-25-003071	195312	0001897612	028-22690	000314590	801-121434	T. Rowe Price Investment Management, Inc.
0001085146-25-003071	195311	0001163368	028-10952	000104559	801-48187	PACIFIC INVESTMENT MANAGEMENT CO LLC
0001085146-25-003071	195310	0001256909	028-10487	000105780	801-33358	Northern Trust Investments, Inc
0001085146-25-003071	195309	0001230440	028-17085	000124687	801-61757	Neuberger Berman Investment Advisers LLC
0001085146-25-003071	195308	0000912938	028-04968	000110045	801-17352	MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001085146-25-003071	195307	0000727770	028-05267	000105390	801-32108	MACQUARIE INVESTMENT MANAGEMENT BUSINESS TRUST
0001085146-25-003071	195306	0000312348	028-00398	000105377	801-170	LOOMIS SAYLES & CO L P
0001085146-25-003071	195305	0001021223	028-05792	000104599	801-24241	KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC
0001085146-25-003071	195304	0001363391	028-11937	000107038	801-21011	J.P. Morgan Investment Management Inc.
0001085146-25-003071	195303	0000020430	028-00255	000105360	801-33949	Invesco Advisers, Inc.
0001085146-25-003071	195302	0001023875	028-06154	000111376	801-53068	FRANKLIN MUTUAL ADVISERS LLC
0001085146-25-003071	195301	0001385495	028-12282	000133196	801-63658	FIAM LLC
0001085146-25-003071	195300	0001086433	028-04377	000105138	801-34612	FEDERATED INVESTMENT MANAGEMENT CO
0001085146-25-003071	195299	0001102578	028-05269	000107926	801-56189	EARNEST PARTNERS LLC
0001085146-25-003071	195298	0000938206	028-04207	000105757	801-18439	DRIEHAUS CAPITAL MANAGEMENT LLC
0001085146-25-003071	195297	0000200217	028-00400	000104596	801-1895	DODGE & COX
0001085146-25-003071	195293	0001075869	028-04413	000104973	801-21122	ALLSPRING GLOBAL INVESTMENTS, LLC
0001085146-25-003071	195294	0000052388	028-01091	000105778	801-8174	AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001085146-25-003071	195295	0001086364	028-04295	000106614	801-47710	BLACKROCK ADVISORS LLC
0001085146-25-003071	195296	0001386060	028-12484	000124982	801-61786	Boston Partners
0001172661-25-001799	195388	0000850401	028-02494			TCW GROUP INC
0001085146-25-003070	195278	0001629649	028-16929	000307865	801-119948	NORTHWESTERN MUTUAL INVESTMENT MANAGEMENT COMPANY, LLC
0001085146-25-003070	195282	0000902219	028-04557	000106595	801-15908	WELLINGTON MANAGEMENT GROUP LLP
0001085146-25-003070	195279	0001393818	028-13114	000120934	801-61467	Blackstone Inc.
0001085146-25-003070	195280	0001520692	028-14775	000146629	801-69633	KKR Credit Advisors (US) LLC
0001085146-25-003070	195281	0001163368	028-10952	000104559	801-48187	PACIFIC INVESTMENT MANAGEMENT CO LLC
0001104659-25-048255	195620	0001592579	028-15707			Trinity Street Asset Management LLP
0001104659-25-048255	195619	0001592643	028-16000			Select Equity Group, L.P.
0000225602-25-000006	195627	0001624302	028-16290	000108513	801-56176	BARING ASSET MANAGEMENT (ASIA) Ltd
0000225602-25-000006	195628	0000009015	028-00060	000106006	801-241	BARINGS LLC
0000225602-25-000006	195626	0001606779	028-16289	000299118	802-114253	BARING ASSET MANAGEMENT Ltd
0000225602-25-000006	195632	0001103653	028-15866			MassMutual Private Wealth & Trust, FSB
0000225602-25-000006	195633	0000701059	028-16947	000010409	801-44264	MML INVESTORS SERVICES, LLC
0000225602-25-000006	195629	0001568131	028-15112	000105724	801-15160	Baring International Investment Ltd
0000225602-25-000006	195631	0001803230	028-20060			Baring SICE (Taiwan) LTD
0000225602-25-000006	195630	0001606780	028-19111			Baring Asset Management Korea Ltd
0001140361-25-018816	195970	0001000275	028-11396			Royal Bank of Canada
0001812185-25-000002	195479	0001696715	028-17884	000134086	801-66368	LEVEL FOUR ADVISORY SERVICES, LLC
0001140361-25-018811	195512	0001000275	028-11396			Royal Bank of Canada
0001398344-25-009329	195468	0001565951	028-18238			DC Investments Management, LLC
0001140361-25-018809	195518	0001000275	028-11396			Royal Bank of Canada
0001062993-25-009311	195618	0000720005			001-09109	RAYMOND JAMES FINANCIAL INC
0001667731-25-000634	195924	0001207017	028-10469	000122836	801-61701	LAZARD ASSET MANAGEMENT LLC
0001667731-25-000634	195932	0001071483	028-04171		028-04171	TODD ASSET MANAGEMENT LLC
0001667731-25-000634	195931	0000949615	028-05066		028-05066	KAYNE ANDERSON CAPITAL ADVISORS LP
0001667731-25-000634	195930	0000732812	028-00218		028-00218	Capital Group Companies, Inc.
0001667731-25-000634	195929	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0001667731-25-000634	195928	0000884541	028-03125	000110901	801-17958	TRILLIUM ASSET MANAGEMENT, LLC
0001667731-25-000634	195920	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001667731-25-000634	195921	0000872259	028-02825	000106139	801-36951	BAHL & GAYNOR INC
0001667731-25-000634	195922	0001348883	028-11611	000137028	801-64710	Clearbridge Investments, LLC
0001667731-25-000634	195923	0001056288	028-04375	000105325	801-34611	FEDERATED HERMES, INC.
0001667731-25-000634	195925	0001403438	028-12526	000105800	801-28170	LPL Financial LLC
0001667731-25-000634	195926	0001018331	028-05788	000106800	801-48408	NATIXIS ADVISORS, LLC
0001667731-25-000634	195927	0001521019	028-14498	000155584	801-71957	Nuveen Asset Management, LLC
0001367401-25-000008	195569	0000922898	028-03513			M&G INVESTMENT MANAGEMENT LTD
0001367401-25-000008	195568	0001056288	028-04375			FEDERATED HERMES, INC.
0001367401-25-000008	195567	0001105246	028-05673			UBS GLOBAL ASSET MANAGEMENT UK LTD
0002035591-25-000002	195373	0001294591	028-25580			Rakuten Group, Inc.
0001062993-25-009306	196013	0000720005			001-09109	RAYMOND JAMES FINANCIAL INC
0001104659-25-048181	195544	0001479465	028-15344			FARLEY CAPITAL L.P.
0001214659-25-007530	195944	0001786379	028-19583			Stonehage Fleming Financial Services Holdings Ltd
0001778131-25-000003	195643	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001848138-25-000005	195478	0001848138	028-21211	000161898	802-124941	Greenwoods Asset Management Hong Kong Ltd.
0000950123-25-005053	195285		028-14064	000301509	801-116710	Sumitomo Mitsui DS Asset Management Company, Ltd
0000950123-25-005053	195286		028-20249	000110858	801-45435	TT International Asset Management LTD
0000950123-25-005049	195864		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-005048	195389		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-005052	195268		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0000950123-25-005050	195883		028-17794			SUMITOMO MITSUI FINANCIAL GROUP, INC.
0001104659-25-048088	195640	0002053290	028-25029			Baring Fintech Manager Holding Ltd
0001104659-25-048080	195269	0002053290	028-25029			Baring Fintech Manager Holding Ltd
0000950123-25-005043	195562		028-22801			PPSC Investment Service Corp
0000950123-25-005043	195563		028-23558			Rakuten Securities, Inc.
0000950123-25-005043	195560		028-20530			Mizuho Markets Americas LLC
0000950123-25-005043	195559		028-19904			Mizuho Markets Cayman LP
0000950123-25-005043	195558		028-14335	000019647	8-37710	Mizuho Securities USA LLC
0000950123-25-005041	195473		028-14335	000019647	8-37710	Mizuho Securities USA LLC
0000950123-25-005043	195561		028-22802			PayPay Securities Corp
0000950123-25-005041	195475		028-20530			Mizuho Markets Americas LLC
0000950123-25-005043	195557		028-07332	000110843	801-55047	Asset Management One Co., Ltd.
0000950123-25-005043	195556		028-19142			Mizuho Securities Co. Ltd.
0000950123-25-005041	195474		028-19904			Mizuho Markets Cayman LP
0000950123-25-005043	195555		028-14226			Mizuho Bank, Ltd.
0001104659-25-048068	195736	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001104659-25-048059	195554	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0000950123-25-005039	195966		028-21112	000113042		Harbor Capital Advisors, Inc.
0000950123-25-005039	195965		028-12627			Robeco Schweiz AG
0000950123-25-005039	195964		028-12635			Robeco Institutional Asset Management B.V.
0000950123-25-005039	195963		028-12484	000124982		Boston Partners
0001104659-25-048054	195443	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001104659-25-048045	195954	0002053281	028-25024			Baring Fintech Fund III Managers Ltd
0001140361-25-018764	195451	0001512367	028-14162			SeaTown Holdings Pte. Ltd.
0001140361-25-018763	195616	0001512367	028-14162			SeaTown Holdings Pte. Ltd.
0001140361-25-018762	195741	0001512367	028-14162			SeaTown Holdings Pte. Ltd.
0000904454-25-000265	195531	0001496228	028-15030	000161163	801-73734	SRB CORP
0001911876-25-000017	195529	0001911876				BSN CAPITAL PARTNERS Ltd
0001606588-25-000004	195795	0001508822	028-14059	000110933	801-60694	ACR Alpine Capital Research, LLC
0001606588-25-000004	195796	0001477872	028-13757	000110506	801-57695	Saratoga Research & Investment Management
0001606588-25-000004	195797	0001419999	028-13243	000144906	801-68369	MAR VISTA INVESTMENT PARTNERS LLC
0001606588-25-000004	195798	0001050463	028-06620	000106288	801-48064	MORGAN DEMPSEY CAPITAL MANAGEMENT LLC
0001606588-25-000004	195799	0001034524	028-03687	000106093	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001007281-25-000005	195517	0001520354	028-14490			BNP PARIBAS ASSET MANAGEMENT Holding S.A.
0001389277-25-000010	195737	0001520354	028-14490			BNP PARIBAS ASSET MANAGEMENT Holding S.A.
0001796861-25-000003	195724	0001633046	028-17724			Maven Securities LTD
0001158011-25-000012	195732	0001520354	028-14490			BNP PARIBAS ASSET MANAGEMENT Holding S.A.
0001889719-25-000002	195514	0001634255	028-16830	000172397	802-80246	Charles-Lim Capital Ltd
0001802695-25-000005	195513	0001802695	028-20052			Perseverance Asset Management International
0001600094-25-000001	195272	0000927971				BANK OF MONTREAL /CAN/
0001846148-25-000003	195571	0001520354	028-14490			BNP PARIBAS ASSET MANAGEMENT Holding S.A.
0001541508-25-000004	195582	0001520354	028-14490			BNP PARIBAS ASSET MANAGEMENT Holding S.A.
0001796861-25-000002	195860	0001633046	028-17724			Maven Securities LTD
0001387292-25-000008	195900	0001454502	028-13331			Triple Frond Partners LLC
0002014044-25-000002	196010	0001641992	028-16895	000162360	802-75606	LGT CAPITAL PARTNERS LTD.
0001911876-25-000018	195957	0001911876				BSN CAPITAL PARTNERS Ltd
0000904454-25-000268	195273	0001496228	028-15030	000161163	801-73734	SRB CORP
0001294591-25-000003	195984	0002009539	028-23558			Rakuten Securities, Inc.
0001140361-25-018706	195543	0001117233	028-21389	000104233	801-67767	FLAGSTAR ADVISORS INC
0001417296-25-000008	195658	0000005272	028-00219			AMERICAN INTERNATIONAL GROUP, INC.
0000950123-25-004985	195525		028-22524			H&F Corporate Investors X, Ltd.
0000950123-25-004983	195291		028-22773			H&F Corporate Investors IX, Ltd.
0000950123-25-004979	195485		028-20878			H&F Corporate Investors VIII, Ltd.
0001599966-25-000003	195441	0000927971				BANK OF MONTREAL /CAN/
0001172661-25-001788	195535	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0001172661-25-001788	195537	0001780570	028-19978	000282827	801-107290	Ethic Inc.
0001172661-25-001788	195536	0001759654	028-19308	000298733	801-114071	Quantinno Capital Management LP
0001172661-25-001785	195447	0001470876	028-13894			Freestone Capital Holdings, LLC
0000950123-25-004972	195889		028-18787			Galileo (PTC) Ltd
0000950123-25-004970	195886		028-18610			Orland Properties Ltd
0000950123-25-004969	195524		028-18610			Orland Properties Ltd
0000950123-25-004968	195978		028-21024			MWG Management Ltd.
0000930413-25-001778	195899	0000900973	028-03676	000106940	801-41316	Winslow Capital Management, LLC
0000930413-25-001778	195898	0000939222	028-04800			TEACHERS ADVISORS, LLC
0000930413-25-001778	195896	0001521019	028-14498	000155584	801-71957	Nuveen Asset Management, LLC
0000930413-25-001778	195895	0000887793	028-03194			TIAA CREF INVESTMENT MANAGEMENT LLC
0000930413-25-001778	195894	0000882928	028-24084	000020472	801-63550	TIAA-CREF INDIVIDUAL & INSTITUTIONAL SERVICES, LLC
0000930413-25-001778	195893	0001997405	028-23407			TIAA TRUST, NATIONAL ASSOCIATION
0000930413-25-001778	195897	0001311016	028-11710	000104626	801-14147	Nuveen Fund Advisors, LLC
0000950123-25-004964	196012		028-20924			Alpha Family Trust
0000950123-25-004963	195730		028-18787			Galileo (PTC) Ltd
0000950123-25-004960	195380		028-18787			Galileo (PTC) Ltd
0001526648-25-000002	195587	0000927971				BANK OF MONTREAL /CAN/
0000950123-25-004956	195654		028-18787			Galileo (PTC) Ltd
0000950123-25-004948	195891		028-18787			Galileo (PTC) Ltd
0000950123-25-004944	195949		028-20924	001568991		Alpha Family Trust
0001463217-25-000005	195288	0001463217	028-13508	000134600	801-64376	UNITED CAPITAL FINANCIAL ADVISORS, LLC
0000950123-25-004937	195656		028-20924			Alpha Family Trust
0001140361-25-018665	195942	0001000275	028-11396			Royal Bank of Canada
0001398344-25-009287	195586	0001080380	028-04685	000123546	801-64500	PROSPECTOR PARTNERS LLC
0001256484-25-000024	195784	0001050470	028-06580	000109918	801-47689	LSV ASSET MANAGEMENT
0001256484-25-000024	195785	0001050477	028-06636	000108518	801-54641	SNYDER CAPITAL MANAGEMENT L P
0001256484-25-000024	195786	0001414702				Haven Global Partners LP
0001256484-25-000024	195787	0001507115	028-14137	000110297	801-52751	Madison Investment Advisors, LLC
0001256484-25-000024	195788	0001541743	028-14668	000135822	801-68586	Copeland Capital Management, LLC
0001256484-25-000024	195789	0000053417	028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0001256484-25-000024	195790	0001908619	028-24042	000300915	801-114880	Promethos Capital, LLC
0001256484-25-000024	195791	0000937729	028-10991	000106584	801-1725	FAYEZ SAROFIM & CO
0001256484-25-000024	195792	0000315066	028-00451			FMR LLC
0001256484-25-000024	195793	0000845563	028-02405			COHEN & STEERS CAPITAL MANAGEMENT INC
0001256484-25-000024	195745	0001197921	028-15333			KELLOGG W K FOUNDATION TRUST
0001256484-25-000024	195746	0001513216	028-14423	000160034	801-73006	First Sentier Investors (Australia) IM Ltd
0001256484-25-000024	195747	0001207017	028-10469	000122836	801-61701	LAZARD ASSET MANAGEMENT LLC
0001256484-25-000024	195748	0001165797	028-11728	000113308	801-60343	CAUSEWAY CAPITAL MANAGEMENT LLC
0001256484-25-000024	195749	0000902219	028-04557	000130131	801-62752	WELLINGTON MANAGEMENT GROUP LLP
0001256484-25-000024	195750	0001061186	028-07104	000104702	801-11916	WCM INVESTMENT MANAGEMENT, LLC
0001256484-25-000024	195751	0001356513	028-11863	000125012	801-61776	Westwood Global Investments, LLC
0001256484-25-000024	195752	0001040188	028-06354	000106189	801-46878	VICTORY CAPITAL MANAGEMENT INC
0001256484-25-000024	195753	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001256484-25-000024	195754	0000936753	028-04003	000108211	801-18767	ARIEL INVESTMENTS, LLC
0001256484-25-000024	195755	0001034524	028-03687	000106093	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001256484-25-000024	195756	0001109147	028-05615	000109605	801-56651	AXIOM INVESTORS LLC /DE
0001256484-25-000024	195757	0000912938	028-04968	000110045	801-17352	MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001256484-25-000024	195758	0001274173	028-10904	000104652	801-13991	JANUS HENDERSON GROUP PLC
0001256484-25-000024	195759	0001463879	028-13513	000113606	801-60358	KBI Global Investors (North America) Ltd
0001256484-25-000024	195760	0001348883	028-11611	000137028	801-64710	Clearbridge Investments, LLC
0001256484-25-000024	195761	0001352662	028-11599	000106220	801-15028	Grantham, Mayo, Van Otterloo & Co. LLC
0001256484-25-000024	195762	0001130787	028-06213	000107306	801-53294	EAGLE GLOBAL ADVISORS LLC
0001256484-25-000024	195763	0001375534	028-12114	000164371	802-77005	GENERATION INVESTMENT MANAGEMENT LLP
0001256484-25-000024	195764	0001600145	028-15895	000116632	801-61884	Van Hulzen Asset Management, LLC
0001256484-25-000024	195765	0001027796	028-03791	000106847	801-50838	PZENA INVESTMENT MANAGEMENT LLC
0001256484-25-000024	195766	0001088875	028-04825	000304197	802-116796	BAILLIE GIFFORD & CO
0001256484-25-000024	195767	0001315868	028-11129	000114317	801-60503	Burgundy Asset Management Ltd.
0001256484-25-000024	195768	0001465109	028-13573	000002908	801-3908	Neuberger Berman Group LLC
0001256484-25-000024	195769	0001644956	028-17022	000173961	801-80640	WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC
0001256484-25-000024	195770	0000938206	028-04207	000105757	801-18439	DRIEHAUS CAPITAL MANAGEMENT LLC
0001256484-25-000024	195771	0001542266	028-14862	000150632	801-70383	Granite Investment Partners, LLC
0001256484-25-000024	195772	0001112325	028-05655	000108074	801-57432	RIVERBRIDGE PARTNERS LLC
0001256484-25-000024	195773	0001424467	028-12654	000130023	801-62639	Lisanti Capital Growth, LLC
0001256484-25-000024	195774	0000884414	028-03059	000107022	801-28257	JACOBS LEVY EQUITY MANAGEMENT, INC
